Price,SPY,XLK,XLF,XLV,XLE,XLI,XLP,XLY,XLB,XLU,XLRE,XLC
Ticker,SPY,XLK,XLF,XLV,XLE,XLI,XLP,XLY,XLB,XLU,XLRE,XLC
Date,,,,,,,,,,,,
2018-06-19,275.5,71.43000030517578,27.350000381469727,84.86000061035156,74.73999786376953,73.2300033569336,51.060001373291016,111.77999877929688,58.4900016784668,50.189998626708984,31.5,49.959999084472656
2018-06-20,275.9700012207031,71.58000183105469,27.280000686645508,85.04000091552734,75.06999969482422,73.27999877929688,51.11000061035156,112.30999755859375,58.29999923706055,50.22999954223633,31.84000015258789,50.58000183105469
2018-06-21,274.239990234375,71.02999877929688,27.200000762939453,84.55000305175781,73.68000030517578,72.36000061035156,51.209999084472656,111.51000213623047,57.68000030517578,50.400001525878906,32.029998779296875,50.27000045776367
2018-06-22,274.739990234375,70.80000305175781,27.06999969482422,84.93000030517578,75.1500015258789,72.61000061035156,51.630001068115234,111.31999969482422,58.52000045776367,50.75,32.310001373291016,50.4900016784668
2018-06-25,271.0,69.33000183105469,26.780000686645508,84.1500015258789,73.63999938964844,71.69000244140625,51.88999938964844,108.9000015258789,57.61000061035156,51.59000015258789,32.22999954223633,49.45000076293945
2018-06-26,271.6000061035156,69.61000061035156,26.690000534057617,83.88999938964844,74.56999969482422,71.95999908447266,51.66999816894531,109.68000030517578,57.83000183105469,51.650001525878906,32.400001525878906,49.53200149536133
2018-06-27,269.3500061035156,68.66000366210938,26.360000610351562,83.18000030517578,75.56999969482422,71.37999725341797,51.560001373291016,108.26000213623047,57.650001525878906,51.900001525878906,32.310001373291016,49.099998474121094
2018-06-28,270.8900146484375,69.5,26.59000015258789,83.29000091552734,75.47000122070312,71.4800033569336,51.560001373291016,109.11000061035156,57.869998931884766,51.880001068115234,32.630001068115234,49.59000015258789
2018-06-29,271.2799987792969,69.47000122070312,26.59000015258789,83.45999908447266,75.94000244140625,71.62999725341797,51.529998779296875,109.30000305175781,58.06999969482422,51.959999084472656,32.709999084472656,49.529998779296875
2018-07-02,271.8599853515625,70.08999633789062,26.719999313354492,83.72000122070312,74.81999969482422,71.79000091552734,51.22999954223633,109.44999694824219,57.7599983215332,52.33000183105469,32.52000045776367,49.84000015258789
2018-07-03,270.8999938964844,69.26000213623047,26.479999542236328,83.91999816894531,75.29000091552734,71.55999755859375,51.349998474121094,108.9000015258789,57.65999984741211,52.47999954223633,32.709999084472656,49.22999954223633
2018-07-05,273.1099853515625,70.23999786376953,26.540000915527344,84.79000091552734,75.20999908447266,71.91000366210938,52.060001373291016,109.44000244140625,58.15999984741211,52.7599983215332,33.13999938964844,49.97999954223633
2018-07-06,275.4200134277344,71.05999755859375,26.670000076293945,86.01000213623047,75.66999816894531,72.16000366210938,52.220001220703125,110.30000305175781,58.45000076293945,53.16999816894531,33.279998779296875,50.77000045776367
2018-07-09,277.8999938964844,71.5999984741211,27.280000686645508,86.63999938964844,76.80000305175781,73.5,52.02000045776367,111.62000274658203,58.970001220703125,51.529998779296875,32.970001220703125,51.060001373291016
2018-07-10,278.8999938964844,71.7699966430664,27.18000030517578,86.97000122070312,77.37000274658203,73.7300033569336,52.63999938964844,111.86000061035156,59.470001220703125,52.02000045776367,33.130001068115234,51.03900146484375
2018-07-11,276.8599853515625,71.48999786376953,27.049999237060547,86.27999877929688,75.7300033569336,72.5199966430664,52.470001220703125,111.5999984741211,58.470001220703125,52.4900016784668,33.029998779296875,50.970001220703125
2018-07-12,279.3699951171875,72.62000274658203,27.100000381469727,87.23999786376953,75.86000061035156,73.37000274658203,52.400001525878906,112.33999633789062,58.61000061035156,52.529998779296875,33.11000061035156,51.77000045776367
2018-07-13,279.5899963378906,72.54000091552734,26.979999542236328,87.4000015258789,76.26000213623047,73.75,52.7400016784668,112.58999633789062,58.58000183105469,52.540000915527344,33.0,51.689998626708984
2018-07-16,279.3399963378906,72.37000274658203,27.459999084472656,86.87000274658203,75.37999725341797,73.44999694824219,52.4900016784668,112.87000274658203,58.11000061035156,52.4900016784668,32.81999969482422,51.540000915527344
2018-07-17,280.4700012207031,72.91000366210938,27.489999771118164,87.3499984741211,75.08000183105469,73.73999786376953,52.939998626708984,112.9800033569336,58.869998931884766,52.45000076293945,32.599998474121094,51.54999923706055
2018-07-18,281.05999755859375,72.79000091552734,27.93000030517578,87.41999816894531,75.12999725341797,74.55000305175781,52.5099983215332,112.91000366210938,58.31999969482422,52.18000030517578,32.47999954223633,51.400001525878906
